start_node_id,end_node_id,relationship_type
1509630456,1982092505,AUTHORED
2113530823,1570977890,AUTHORED
2250868479,1570977890,AUTHORED
2073348590,1688777878,AUTHORED
2061938730,1688777878,AUTHORED
2159633496,1579343146,AUTHORED
658694092,1793284863,AUTHORED
1999884152,1793284863,AUTHORED
1919135125,1793284863,AUTHORED
2949107815,1793284863,AUTHORED
2210204088,1531197527,AUTHORED
676298605,1531197527,AUTHORED
2092533523,1492040731,AUTHORED
2017222965,1492040731,AUTHORED
2063676951,1492040731,AUTHORED
2045278166,1492040731,AUTHORED
2137495467,1492040731,AUTHORED
2475449320,1492040731,AUTHORED
2024290358,1492040731,AUTHORED
2344120076,1965013462,AUTHORED
1937209614,1589525990,AUTHORED
170944239,1545359038,AUTHORED
2236397478,1545359038,AUTHORED
2008054903,1635116973,AUTHORED
2146115641,1825060070,AUTHORED
2158924317,1825060070,AUTHORED
2503582141,1825060070,AUTHORED
594049255,1825060070,AUTHORED
2034009146,1540223638,AUTHORED
2083973221,1491262044,AUTHORED
2063423718,1605152326,AUTHORED
2273773887,1605152326,AUTHORED
2947491482,1605152326,AUTHORED
1986118520,1811753873,AUTHORED
2339562630,1811753873,AUTHORED
2674457345,1811753873,AUTHORED
2295009377,1631295847,AUTHORED
2164298414,1631295847,AUTHORED
2121939561,1631295847,AUTHORED
688151781,1631295847,AUTHORED
2105625159,1631295847,AUTHORED
2257133698,1965187559,AUTHORED
2974545690,1965187559,AUTHORED
2974334232,1965187559,AUTHORED
2649755936,1965187559,AUTHORED
2041502760,1600605837,AUTHORED
2293660417,1600605837,AUTHORED
2288809231,1549238061,AUTHORED
2123128813,1549238061,AUTHORED
1494615683,1549238061,AUTHORED
2126809402,1549238061,AUTHORED
2306930032,1553693546,AUTHORED
7088146,1543879878,AUTHORED
2306982268,1543879878,AUTHORED
2121563328,1543879878,AUTHORED
2117491823,1571075905,AUTHORED
699984054,1571075905,AUTHORED
125011739,1571075905,AUTHORED
2559349117,1571075905,AUTHORED
2241310076,1602573351,AUTHORED
739236157,1694476708,AUTHORED
2186337131,1694476708,AUTHORED
2122546731,1694476708,AUTHORED
2570876987,1513455856,AUTHORED
2761649317,1513455856,AUTHORED
1817788928,1513455856,AUTHORED
2422807400,1513455856,AUTHORED
2126025634,1503206383,AUTHORED
2151264347,1503206383,AUTHORED
276722063,1503206383,AUTHORED
2500017991,1986079286,AUTHORED
2091387212,1986079286,AUTHORED
2008651352,1531625469,AUTHORED
2192108129,1531625469,AUTHORED
2035163501,1531625469,AUTHORED
2216498992,1531625469,AUTHORED
2159496315,1518000044,AUTHORED
2161153869,1518000044,AUTHORED
2491181490,1593544550,AUTHORED
2126999211,1593544550,AUTHORED
2215279363,1593544550,AUTHORED
2142756370,1805540519,AUTHORED
2952866919,1805540519,AUTHORED
2237101560,1542455165,AUTHORED
627763154,1490468194,AUTHORED
83353782,1490468194,AUTHORED
2679239725,1969698078,AUTHORED
2719019589,1969698078,AUTHORED
2057643108,1809369763,AUTHORED
2212247778,1809369763,AUTHORED
2097786798,1809369763,AUTHORED
2505672619,1790062403,AUTHORED
2151365529,1790062403,AUTHORED
2102435307,1600378632,AUTHORED
2289364316,1600378632,AUTHORED
2155530763,1600378632,AUTHORED
2676442785,1513372042,AUTHORED
2720697315,1513372042,AUTHORED
2107932047,1578412938,AUTHORED
2116419005,1967177206,AUTHORED
222738917,1967177206,AUTHORED
2973369500,1977297044,AUTHORED
823547356,1977297044,AUTHORED
2118028040,1973162794,AUTHORED
2139030624,1973162794,AUTHORED
2155302952,1973162794,AUTHORED
2527467599,1978799369,AUTHORED
2066282134,1978799369,AUTHORED
2151678189,1978799369,AUTHORED
2648681320,1978799369,AUTHORED
2125572757,1978799369,AUTHORED
2241844963,1978799369,AUTHORED
2388460766,1978799369,AUTHORED
2717172485,1978799369,AUTHORED
2112739513,1978799369,AUTHORED
2129477832,1567881920,AUTHORED
2978830017,1567881920,AUTHORED
118905771,1605580256,AUTHORED
2257050880,1605580256,AUTHORED
22180286,1548819781,AUTHORED
2147318369,1548819781,AUTHORED
2291386233,1970319631,AUTHORED
2123449190,1545759797,AUTHORED
1845058341,1545759797,AUTHORED
1998976885,1545759797,AUTHORED
2303473132,1601726121,AUTHORED
1979734744,1589082502,AUTHORED
694493417,1589082502,AUTHORED
2025616804,1921661296,AUTHORED
2143328931,21456,AUTHORED
2564669815,21456,AUTHORED
2940473005,1560878305,AUTHORED
2160171411,1512082961,AUTHORED
2134389240,1512082961,AUTHORED
2289414603,1512082961,AUTHORED
